id,query
1,Why Deep Fried Foods May Cause Cancer
2,Do Cholesterol Statin Drugs Cause Breast Cancer?
3,Breast Cancer Cells Feed on Cholesterol
4,Using Diet to Treat Asthma and Eczema
5,Treating Asthma With Plants vs. Pills
6,How Fruits and Vegetables Can Treat Asthma
7,How Fruits and Vegetables Can Prevent Asthma
8,Our Tax Dollars Subsidize Unhealthy Foods
9,Reducing Arsenic in Chicken and Rice
10,How Contaminated Are Our Children?
11,Living Longer by Reducing Leucine Intake
12,Exploiting Autophagy to Live Longer
14,"Blood Type Diet Perceived as ""Crass Fraud"""
15,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?
16,Phytates in Beans: Anti-Nutrient or Anti-Cancer?
17,How Phytates Fight Cancer Cells
18,Colon Cancer Prevention: Is it the Fiber or the Phytates?
19,Low Carb Diets Found to Feed Heart Disease
20,How Curry Can Kill Cancer Cells
21,Testing Turmeric on Smokers
22,Why are Cancer Rates so Low in India?
23,How to Reduce Exposure to Alkylphenols Through Your Diet
24,Alkylphenol Endocrine Disruptors and Allergies
25,Slowing Cognitive Decline with Berries
26,What is ‘Meat Glue’?
27,Is Liquid Smoke Safe?
28,Does Antioxidant Intake Matter for Stroke and Heart Disease?
29,Does Antioxidant Intake Matter for Cancer?
30,Is buying organic worth it? A review of the science in new DVD
31,Orange Aromatherapy for Anxiety
32,Peeks Behind the Egg Industry Curtain
33,What’s Driving America’s Obesity Problem?
34,Food Manufacturers Get to Decide if Their Own Additives Are Safe
35,Meat Industry Wins Right to Sell Tainted Meat
36,Chicken Salmonella Outbreaks Show Food Safety Systems Failure
37,Viral Food Poisoning from Pesticides?
38,The Reversal on Fish Oil
40,Are Multivitamins Just a Waste of Money?
41,Understanding Lifestyle Medicine From the Heart
42,Don't Forget Fiber
43,Organic Milk and Prostate Cancer
44,Who Should be Careful About Curcumin?
46,Why Pepper Boosts Turmeric Blood Levels
47,Foods That Fight Osteoarthritis & Inflammation
49,The Spice That Helps Ease Rheumatoid Arthritis Pain
50,The Top Three DNA Protecting Spices
51,The Top Four Anti-Inflammatory Spices
52,Superbugs on Retail Chicken
53,Foods for Computer Eye Strain
54,Currant Treatment for Glaucoma
55,Foods for Macular Degeneration
56,Foods for Glaucoma
57,How Long to Avoid Fish Before Conception?
58,Boosting Anti-Cancer Immunity with Berries
59,The Vitamin Everyone on a Plant-Based Diet Needs
60,Comparing Vegans' Arteries to Runners'
61,"Add Beans, Berries, and Greens to More Meals"
63,How to Get Enough Antioxidants Each Day
64,The Reason We Need More Antioxidants
65,How Avoiding Eggs Could Help You Avoid Diabetes
67,How Beans Help Our Bones
68,What is Actually in Chicken Nuggets?
69,Does Caramel Color Cause Cancer?
70,We Can End the Heart Disease Epidemic
71,How to Prevent Heart Disease
72,How Seafood Can Impact Brain Development
73,Why Pregnant Women Should Avoid Tuna
74,How Fatty Foods May Affect Our Love Life
75,Can One Become a Sugar Addict?
76,Where are Phosphate Additives Found?
77,Phosphate Additives in Chicken Banned Elsewhere
78,What Do Meat Purge and Cola Have in Common?
79,What to Eat to Reduce Our Toxic Exposure
80,Our Immune System Uses Plants To Activate Gut Protection
82,Are Canned Beans as Healthy as Home Cooked?
84,Can Eating Soy Prevent Breast Cancer?
85,Eat Beans to Live Longer
86,Overdosing on Poppy Seeds
87,The Healthiest Diet for Weight Control
88,Why Athletes Should Eat Nutritional Yeast
90,How to Boost the Benefits of Exercise
91,Chronic Headaches and Pork Parasites
92,Why the Egg-Cancer Link?
93,How Eggs Can Impact Body Odor
94,How to Design a Misleading Study
95,How Grapefruit Affects Prescription Drugs
97,Test to See If Your Diet is Alkaline or Acid Forming
98,Does Animal Protein Cause Osteoporosis?
99,Quadrupling Breast Cancer Survival
100,Cancer and the Animal-to-Plant Protein Ratio
101,How to Treat Multiple Sclerosis With Diet
102,Stopping Heart Disease in Childhood
103,How Plant-Based Diets May Extend Our Lives
104,A Low Methionine Diet May Help Starve Cancer Cells
105,How Animal Proteins May Trigger Autoimmune Disease 
106,Handling Poultry Tied to Liver/Pancreatic Cancers
107,Improving Attractiveness in Six Weeks
108,Want to be Healthier? Change Your Taste Buds
109,How to Get Parents to Eat Their Vegetables
110,How To Get Our Kids to Eat Their Vegetables
111,How to Get Kids to Eat Their Vegetables
112,Food Dyes and ADHD
114,How to Treat ADHD Without Drugs
115,Avoid Butter-Flavored Microwave Popcorn
116,Pistachios May Help Erectile Dysfunction
117,Foods for a Long Life and Love Life
118,Pills vs. Diet For Erectile Dysfunction
119,Which Seaweed to Help Prevent Breast Cancer?
120,Preloading With Watercress Before Exercise
121,Berries to Prevent Muscle Soreness
122,Citrus to Reduce Muscle Fatigue
123,How Citrus Might Help Keep Your Hands Warm
124,Toxin Contamination of Spirulina Supplements
125,Is Noni or Mangosteen Juice Safe?
126,Should Carrageenan Be Avoided?
127,Treating Menstrual Pain With Diet
128,Cayenne for Irritable Bowel
129,Natural Treatment for Cluster Headaches
130,Foods With Natural Melatonin
131,Two Kiwifruit an Hour Before Bedtime
132,Can We Fight the Blues With Greens?
133,Starving Tumors of Their Blood Supply 
134,Breast Cancer and Wine
135,Why Do Vegan Women Have Fewer Female Cancers?
136,When a Scraped Knee May Once Again Kill 
137,Why We Should Eat More Beans
138,Egg Industry Caught Making False Claims
139,Male Fertility and Dietary Pollutants
140,Trans Fat in Animal Fat
141,Ginger & Lemon Balm for Radiation Exposure
142,Dealing With Air Travel Radiation Exposure
143,Are Dental X-Rays Safe?
144,How Risky are CT Scans?
145,Fukushima Radiation and Seafood
146,Tea and Fluoride Risk
147,Does Cranberry Juice Work Against Bladder Infections?
148,How Avoiding Chicken Could Prevent Bladder Infections
149,Preventing Bacterial Vaginosis With Diet
150,Treating Migraines With Lavender
151,Using Lavender to Treat Anxiety
152,How Probiotics Affect Mental Health
153,How Should I Take Probiotics?
154,Probiotics During Cold Season?
155,Probiotics and Diarrhea
156,Mushrooms and Immunity
158,Raspberries Reverse Precancerous Lesions
159,Strawberries Can Reverse Precancerous Progression
160,Anti-Cancer Nutrient Synergy in Cranberries
161,Which Common Fruit Fights Cancer Better?
163,Half of Doctors Give Placebos
164,Down But Not Out
165,Breast Cancer & Alcohol: How Much is Safe?
166,Best Nutrition Bang for Your Buck
167,Schoolchildren Should Drink More Water
168,Why Are Eggs Linked to Cancer Progression?
169,Avoid Carnitine and Lethicin Supplements
170,Treating Breast Pain with Flax Seeds
171,Treating Breast Pain With Diet
172,Tarragon Toxicity?
173,Nutmeg Toxicity
174,Cinnamon for Diabetes
175,Diet and Cellulite
176,Industry Influence on Our Dietary Guidelines
177,Flax and Breast Cancer Survival
178,Flax and Breast Cancer Prevention 
179,Treating Sensitive Skin From the Inside Out
180,Flaxseeds for Diabetes
181,Flaxseeds for Prostate Cancer
182,Why Is Selling Salmonella-Tainted Chicken Legal?
184,Raisins vs. Energy Gels for Athletic Performance
185,The Best Nutrition Bar
186,Best Treatment for Constipation
187,Best Dried Fruit For Cholesterol
188,"Eggs, Cigarettes, and Atherosclerosis"
189,Rooibos & Nettle Tea
190,Hibiscus Tea: The Best Beverage?
191,Treating Parkinson’s Disease With Diet
192,Avoiding Dairy to Prevent Parkinson's
193,The Science on Acai Berries
194,NutritionFacts.org Video Hits a Million Views
195,Why are Children Starting Puberty Earlier?
196,Should We Avoid Titanium Dioxide?
197,The Best Way to Prevent the Common Cold?
198,Which Pets Improve Children’s Health?
199,"Vitamin D from Mushrooms, Sun, or Supplements?"
200,Is Coconut Oil Bad For You?
201,Do Vegans Get More Cavities?
202,Head Shrinking from Grilling Meat
203,Broccoli Boosts Liver Detox Enzymes
204,Dr. Greger's New Year-in-Review Presentation
206,Foods That May Block Cancer Formation
207,Avoiding Cooked Meat Carcinogens
208,Estrogenic Chemicals in Meat
209,Plant-Based Diets for Fibromyalgia
210,Apple Peels Turn On Anticancer Genes
211,Uric Acid From Meat and Sugar
212,Go Nuts for Breast Cancer Prevention
213,Prevent Breast Cancer by Any Greens Necessary
214,Why Less Breast Cancer in Asia?
215,Mushrooms For Breast Cancer Prevention
216,Plant-Based Diets for Metabolic Syndrome
217,Plant-Based Diets for Psoriasis
218,Dr. Greger's Natural Nausea Remedy Recipe
219,Plant-Based Diets for Multiple Sclerosis
220,Plant-Based Diets for Rheumatoid Arthritis
221,How Tumors Use Meat to Grow
222,How to Gain Weight on Diet Soda
223,"Is There a Safe, Low-Calorie Sweetener?"
224,Are Microgreens Healthier?
225,Aspartame: Fibromyalgia & Preterm Birth
226,Bugs & Drugs in Pork: Yersinia and Ractopamine
227,Increasing Muscle Strength with Fenugreek
228,The Anti-Wrinkle Diet
229,Treadmill Desks: Stand Up For Health
231,Gerson Therapy for Cancer?
232,Are Bioidentical Hormones Safe?
233,Ergothioneine: A New Vitamin?
234,How To Reduce Dietary Antibiotic Intake
235,Countering Dietary Pollutants & Pesticides
236,Protecting Our Babies From Pollutants
237,Pollutants in Californian Breast Tissue
238,How Chemically Contaminated Are We?
239,Saffron vs. Prozac for Depression
240,Treating PMS with Saffron
241,Eating Green to Prevent Cancer
242,What Is the Healthiest Meat?
243,Lead Poisoning Risk From Venison
244,The Real Paleo Diet
245,How Much Soy Is Too Much?
246,Vegan Men: More Testosterone But Less Cancer
247,How Do Plant-Based Diets Fight Cancer?
248,Treating an Enlarged Prostate With Diet
249,Cancer-Proofing Your Body
250,Plant-Based Workplace Intervention
251,Biblical Daniel Fast Tested
252,Poultry Paunch: Meat & Weight Gain
253,Diet vs. Exercise: What’s More Important?
254,The Ice Diet
255,Boosting Gut Flora Without Probiotics
257,Burning Fat With Flavonoids 
258,Nuts Don't Cause Expected Weight Gain
259,Optimal Phytosterol Dose and Source
260,Cholesterol Lowering in a Nut Shell
261,The True Shelf Life of Cooking Oils
262,Ractopamine and Yersinia in U.S. Pork
264,How To Boost Serotonin Naturally
265,Magnesium-Rich Foods to Prevent Sudden Death
266,How to Enhance Mineral Absorption
267,Eating To Extend Our Lifespan
268,Kiwi Fruit for Irritable Bowel Syndrome
269,Preventing and Treating Kidney Failure With Diet
270,Is Caffeinated Tea Really Dehydrating?
271,How Much Arsenic In Rice Came From Chickens?
272,How Does Meat Cause Inflammation?
273,Treating Crohn’s Disease With Diet
274,Antioxidants in a Pinch: Dried Herbs and Spices
275,The Most Anti-Inflammatory Mushroom
276,Why is it Legal to Sell Unsafe Meat?
277,Health Food Store Advice: Often Worthless or Worst
278,Adding FDA-Approved Viruses to Meat
279,Latest in Clinical Nutrition Volume 10 Now on DVD
280,Mercury Testing Recommended Before Pregnancy
281,Preserving Vision Through Diet
282,Skim Milk and Acne
284,Do Eden Beans Have Too Much Iodine?
285,Fighting Inflammation With Food Synergy
286,"Cow’s Milk Casomorphin, Crib Death, and Autism"
287,Treating COPD With Diet
288,Watermelon For Erectile Dysfunction
289,Poultry and Penis Cancer
290,Coffee Caveats
291,Stool Size and Breast Cancer Risk
292,Breast Cancer Survival and Soy
293,Mad Cow California: Is the Milk Supply Safe?
294,Breast Cancer Stem Cells vs. Broccoli
295,The Best Detox
296,Using Greens to Improve Athletic Performance
300,Paula Deen: diabetes drug spokesperson 
301,"Amla: Indian gooseberries vs. cancer, diabetes, and cholesterol "
303,Hibiscus tea: flower power
304,"EPA dioxin limit has National Chicken Council worried products could be declared ""unfit for consumption"""
307,Vitamin D: Shedding some light on the new recommendations
308,Beans and Gas: Clearing the air 
309,Alzheimer’s Disease: Up to half of cases potentially preventable
310,Nutrition Education in Medicine: a Doctor a Day Keeps the Apples Away 
312,The Best Foods: test your nutrition knowledge
313,Supreme Court case: meat industry sues to keep downed animals in food supply 
314,Foie gras ban in California: human health implications 
316,Heart disease: there is a cure
317,"Inflammation, Diet, and ""Vitamin S"""
319,Bowel movements: the scoop on poop
320,Breast Cancer and Diet
321,NutritionFacts.org: the first month
323,Eating chicken may lead to a smaller penis 
324,How much pus is there in milk? 
325,Natural Alzheimer's Treatment 
327,Physician-assisted suicide? When doctors give nutrition advice
328,Bad Egg
329,Soy and breast cancer: an update
330,Soymilk: shake it up!
331,How to live longer in four easy steps
332,Can antioxidant-rich spices counteract the effects of a high-fat meal?
333,The Last Heart Attack: Perfect timing for the launch of NutritionFacts.org
335,Welcome to NutritionFacts.org!
336,Hives from Tick Bite-Induced Meat Allergies
337,How a Tick Bite Can Lead to Food Allergies
338,What Do Eggs Do To Our Arteries?
339,Dietary Cholesterol Affects Blood Cholesterol Levels
340,Do Walnuts Really Improve Artery Function?
341,Salmon May Be the Greatest Source of Dietary Pollutants
343,Three Brands of Nutritional Yeast Contain Detectable Lead Levels But the Risk is Minimal
344,Dioxins Stored in Our Own Fat May Increase Diabetes Risk
345,Why Would Eating Fish Increase Diabetes Risk?
346,What does the research say about dietary interventions on women with PCOS?
347,Do algae-based omega-3 supplements contain beta-N-methylamino-L-alanine (BMAA) that has been found in blue-green algae?
348,What are some ways to help reduce the risk of food poisoning from pesticides?
349,Should I stay away from soy if I have breast cancer?
350,Should we take iodine supplements?
351,Have you seen the very recent web blitz on heavy metals (particularly thallium) in cruciferous vegetables (particularly kale)...?
356,Boric acid for vaginal yeast infections?
357,Can diet be used to treat kidney cancer?
358,Didn't another study show carnitine was good for the heart?
360,Might too many antioxidants cause cancer?
361,Which foods have the most potassium?
364,"Nutrition recommendations for acid reflux (GERD), heartburn, and Barrett's Esophagus?"
365,"What do you drink, Dr. Greger?"
366,Can you take hydrogen peroxide internally?
367,What is the best way to get vitamin B12?
368,Are green smoothies better for you?
