query,document,relevance
3,16,3
3,17,3
3,18,3
3,19,3
3,20,3
3,9,2
3,2428,2
3,11,2
3,12,2
3,13,2
3,15,2
3,2434,2
3,2435,2
3,417,2
3,589,2
3,591,2
3,418,2
3,679,2
3,3842,2
3,1822,2
3,3844,2
3,678,2
3,3846,2
3,3847,2
3,3829,2
3,1823,2
3,3850,2
3,3851,2
3,1119,2
3,677,2
3,3854,2
3,3855,2
3,3856,2
3,3857,2
3,4293,2
3,4296,2
3,4297,2
3,4440,2
3,4441,2
3,4444,2
3,4445,2
3,4446,2
3,4447,2
3,4448,2
3,1073,2
3,1074,2
3,1075,2
3,1076,2
3,1077,2
3,1078,2
3,703,2
3,1080,2
3,1081,2
3,1082,2
3,1083,2
3,1084,2
3,1085,2
3,1086,2
3,1087,2
3,423,2
3,1089,2
3,1090,2
3,1091,2
3,1092,2
3,1093,2
4,21,3
4,22,3
4,23,3
4,1073,1
4,1074,1
4,1075,1
4,1076,1
4,1077,1
4,1078,1
4,703,1
4,1080,1
4,1081,1
4,1082,1
4,1083,1
4,1084,1
4,1085,1
4,1086,1
4,1087,1
4,423,1
4,1089,1
4,1090,1
4,1091,1
4,1092,1
4,1093,1
4,2442,1
5,24,3
5,25,3
5,26,3
5,27,3
5,28,3
5,29,3
5,30,3
5,21,2
5,2442,2
5,22,2
5,23,2
5,2446,2
5,2451,2
5,2455,2
5,31,2
5,34,2
5,32,2
5,35,2
5,36,2
5,125,2
5,126,2
5,37,2
5,127,2
5,115,2
5,116,2
5,38,2
5,39,2
5,132,2
5,40,2
5,119,2
5,41,2
5,42,2
5,43,2
5,44,2
5,45,2
5,2479,2
5,129,2
5,130,2
5,2482,2
5,122,2
5,46,2
5,123,2
5,124,2
5,2487,2
5,2625,2
5,2626,2
5,2629,2
5,117,2
5,120,2
5,2633,2
5,131,2
5,133,2
5,134,2
5,135,2
5,136,2
5,2667,2
5,137,2
5,139,2
5,138,2
5,4339,2
5,4345,2
5,4346,2
5,1073,2
5,1074,2
5,1075,2
5,1076,2
5,1077,2
5,1078,2
5,703,2
5,1080,2
5,1081,2
5,1082,2
5,1083,2
5,1084,2
5,1085,2
5,1086,2
5,1087,2
5,423,2
5,1089,2
5,1090,2
5,1091,2
5,1092,2
5,1093,2
6,31,3
6,32,3
6,25,3
6,34,3
6,35,3
6,24,2
6,2446,2
6,26,2
6,28,2
6,27,2
6,2451,2
6,29,2
6,30,2
6,22,2
6,2455,2
6,36,2
6,125,2
6,126,2
6,37,2
6,127,2
6,115,2
6,116,2
6,38,2
6,39,2
6,132,2
6,40,2
6,119,2
6,41,2
6,42,2
6,43,2
6,44,2
6,45,2
6,2479,2
6,129,2
6,130,2
6,2482,2
6,122,2
6,46,2
6,123,2
6,124,2
6,2487,2
6,1073,2
6,1074,2
6,1075,2
6,1076,2
6,1077,2
6,1078,2
6,703,2
6,1080,2
6,1081,2
6,1082,2
6,1083,2
6,1084,2
6,1085,2
6,1086,2
6,1087,2
6,423,2
6,1089,2
6,1090,2
6,1091,2
6,1092,2
6,1093,2
7,36,3
7,37,3
7,38,3
7,39,3
7,40,3
7,41,3
7,42,3
7,43,3
7,44,3
7,45,3
7,46,3
7,2455,2
7,31,2
7,34,2
7,25,2
7,32,2
7,35,2
7,125,2
7,126,2
7,127,2
7,115,2
7,116,2
7,132,2
7,22,2
7,119,2
7,2479,2
7,129,2
7,130,2
7,2482,2
7,122,2
7,123,2
7,124,2
7,2487,2
7,2625,2
7,2626,2
7,2627,2
7,2629,2
7,117,2
7,120,2
7,2633,2
7,131,2
7,628,2
7,3672,2
7,3673,2
7,3674,2
7,3675,2
7,629,2
7,3677,2
7,3678,2
7,631,2
7,632,2
7,3682,2
7,3683,2
7,634,2
7,633,2
7,3686,2
7,4410,2
7,699,2
7,700,2
7,4519,2
7,4548,2
7,4550,2
7,4628,2
7,4629,2
7,4630,2
7,4631,2
7,1073,2
7,1074,2
7,1075,2
7,1076,2
7,1077,2
7,1078,2
7,703,2
7,1080,2
7,1081,2
7,1082,2
7,1083,2
7,1084,2
7,1085,2
7,1086,2
7,1087,2
7,423,2
7,1089,2
7,1090,2
7,1091,2
7,1092,2
7,1093,2
8,47,3
8,48,3
8,1073,2
8,1074,2
8,1075,2
8,1076,2
8,1077,2
8,1078,2
8,703,2
8,1080,2
8,1081,2
8,1082,2
8,1083,2
8,1084,2
8,1085,2
8,1086,2
8,1087,2
8,423,2
8,1089,2
8,1090,2
8,1091,2
8,1092,2
8,1093,2
9,49,3
9,50,3
9,51,3
9,4910,2
9,4911,2
9,1073,2
9,1074,2
9,1075,2
9,1076,2
9,1077,2
9,1078,2
9,703,2
9,1080,2
9,1081,2
9,1082,2
9,1083,2
9,1084,2
9,1085,2
9,1086,2
9,1087,2
9,423,2
9,1089,2
9,1090,2
9,1091,2
9,1092,2
9,1093,2
10,52,3
10,53,3
10,54,3
10,55,3
